Date,Show_name,Potential_Gross,Difference,Average_ticket,Seats_Sold,Seats_in_theater,Previews,%cap,diff_cap
2023-03-12,MJ The Musical,1564181.0,84689.50,147.06,10636.0,1387.0,8.0,95.85,2.48
2023-03-12,Moulin Rouge! The Musical,1400056.91,100003.46,135.74,10314.0,1300.0,8.0,99.17,2.29
2023-03-12,Parade,861706.9,-52803.43,127.10,6780.0,1020.0,0.0,94.96,0.46
2023-03-12,The Phantom of the Opera,2740311.2,197884.20,209.94,13053.0,1605.0,8.0,101.66,0.85
2023-03-12,Pictures From Home,311782.0,-22321.00,68.95,4522.0,807.0,8.0,70.04,5.36
2023-03-12,Shucked,291971.5,0.00,50.14,5823.0,1171.0,0.0,99.45,0.0
2023-03-12,SIX: The Musical,1096701.0,159732.00,137.55,7973.0,1031.0,8.0,96.67,4.66
2023-03-12,Some Like It Hot,772567.2,108932.60,94.77,8152.0,1448.0,8.0,70.37,7.76
2023-03-12,Sweeney Todd,1805510.0,279256.00,172.18,10486.0,1498.0,0.0,100.0,0.0
2023-03-12,Wicked,1689369.0,301073.00,114.98,14693.0,1867.0,8.0,98.4,9.69
2023-03-19,& Juliet,1274280.4,178376.40,154.65,8240.0,1026.0,8.0,100.39,5.8
2023-03-19,Aladdin,1506306.5,319927.90,109.04,13814.0,1727.0,8.0,99.99,4.36
2023-03-19,Bad Cinderella,642196.35,49258.75,73.38,8752.0,1398.0,0.0,89.43,0.91
2023-03-19,A Beautiful Noise The Neil Diamond Musical,842335.2,-1587.25,124.81,6749.0,1152.0,8.0,73.23,6.11
2023-03-19,The Book of Mormon,1104158.67,97617.31,128.87,8568.0,1066.0,8.0,100.47,1.11
2023-03-19,Camelot,741343.0,254651.00,112.14,6611.0,1047.0,0.0,90.2,-4.79
2023-03-19,Chicago,903995.65,-9165.25,105.74,8549.0,1080.0,8.0,98.95,-1.37
2023-03-19,Dancin',564506.3,149255.60,78.96,7149.0,989.0,1.0,90.36,8.34
2023-03-19,A Doll's House,869108.0,140195.00,115.51,7524.0,946.0,8.0,99.42,1.97
2023-03-19,Funny Girl,1264772.25,-585786.25,151.94,8324.0,1219.0,8.0,85.36,-10.6
2023-03-19,Hadestown,912168.25,112891.25,123.45,7389.0,918.0,8.0,100.61,1.26
2023-03-19,Hamilton,2125226.0,209764.00,198.64,10699.0,1324.0,8.0,101.01,-0.41
2023-03-19,Harry Potter and the Cursed Child,1627457.8,421292.40,126.18,12898.0,1622.0,8.0,99.4,13.43
2023-03-19,Jonas Brothers,1556128.0,0.00,192.35,8090.0,1618.0,5.0,100.0,0.0
2023-03-19,Kimberly Akimbo,515055.79,31677.69,85.91,5995.0,773.0,8.0,96.94,10.04
2023-03-19,Leopoldstadt,553437.4,-12419.20,93.44,5923.0,1075.0,8.0,68.87,0.28
2023-03-19,Life of Pi,493601.8,117239.75,75.87,6506.0,990.0,0.0,93.88,-4.87
2023-03-19,The Lion King,2252399.0,614495.00,166.14,13557.0,1696.0,8.0,99.92,0.86
2023-03-19,MJ The Musical,1742670.0,178489.00,156.88,11108.0,1387.0,8.0,100.11,4.26
2023-03-19,Moulin Rouge! The Musical,1567260.16,167203.25,150.15,10438.0,1300.0,8.0,100.37,1.2
2023-03-19,Parade,1040881.65,179174.75,125.33,8305.0,1020.0,5.0,101.78,6.82
2023-03-19,Peter Pan Goes Wrong,364147.0,0.00,86.27,4221.0,1051.0,0.0,80.32,0.0
2023-03-19,The Phantom of the Opera,3029825.92,289514.72,232.01,13059.0,1605.0,8.0,101.71,0.05
2023-03-19,Pictures From Home,328502.0,16720.00,60.60,5421.0,807.0,8.0,83.97,13.93
