,Title,Weekly Gross,Gross Difference,Average Ticket Price,Seats Sold,Performance Count,Percent Capacity,Capacity Difference,Week Ending,Theater,Potential Gross,Top Ticket Price,Theater Capacity,Preview Count
30,Aladdin,"$1,092,062.60","-$240,534.90",$82.17,"13,290",8,96.19%,-2.66%,2020-03-01,New Amsterdam Theatre,"$1,390,226.00",$215.50,"1,727",0
31,Beetlejuice,"$1,077,911.60","-$241,742.75",$94.78,"11,373",8,95.22%,-6.55%,2020-03-01,Winter Garden Theatre,"$1,310,008.00",$323.00,"1,493",0
32,The Book of Mormon,"$896,999.50","-$139,275.80",$112.69,"7,960",8,95.03%,-5.79%,2020-03-01,Eugene O'Neill Theatre,"$1,190,502.00",$477.50,"1,047",0
33,Chicago,"$546,842.00","-$141,410.30",$83.65,"6,537",8,75.66%,-12.67%,2020-03-01,Ambassador Theatre,"$960,444.00",$197.00,"1,080",0
34,Come From Away,"$804,635.60","-$103,343.46",$95.59,"8,418",8,100.60%,-1.38%,2020-03-01,Gerald Schoenfeld Theatre,"$1,108,592.00",$297.00,"1,046",0
35,Dear Evan Hansen,"$965,733.10","-$154,306.10",$126.44,"7,638",8,97.03%,-4.43%,2020-03-01,Music Box Theatre,"$1,234,034.00",$297.00,984,0
36,Frozen,"$925,094.10","-$235,526.10",$75.07,"12,323",8,91.47%,-7.28%,2020-03-01,St. James Theatre,"$1,156,856.00",$217.50,"1,684",0
37,Girl From the North Country,"$503,694.00","-$58,215.50",$81.82,"6,156",0,77.10%,-7.43%,2020-03-01,Belasco Theatre,"$988,888.00",$247.00,998,8
38,Grand Horizons,"$305,196.90","$61,286.47",$70.99,"4,299",8,91.86%,4.72%,2020-03-01,Helen Hayes Theater,"$571,240.00",$199.00,585,0
39,Hadestown,"$1,016,674.75","-$111,082.50",$137.59,"7,389",8,100.61%,-0.49%,2020-03-01,Walter Kerr Theatre,"$1,094,012.00",$0.00,918,0
40,Hamilton,"$2,696,189.00","-$67,435.00",$250.67,"10,756",8,101.55%,0.04%,2020-03-01,Richard Rodgers Theatre,"$2,605,608.00",$847.00,"1,324",0
41,Hangmen,"$139,321.40",$0.00,$90.35,"1,542",0,96.13%,0.00%,2020-03-01,John Golden Theatre,"$215,634.00",$223.00,802,2
42,Harry Potter and the Cursed Child,"$838,927.00","-$253,879.50",$65.22,"12,863",8,99.13%,-0.45%,2020-03-01,Lyric Theatre,"$950,969.00",$296.50,"1,622",0
43,The Inheritance,"$409,086.00","$31,039.50",$76.78,"5,328",8,63.55%,9.86%,2020-03-01,Ethel Barrymore Theatre,"$1,137,638.00",$297.00,"1,048",0
44,Jagged Little Pill,"$845,495.80","-$118,116.50",$101.55,"8,326",8,92.51%,-7.76%,2020-03-01,Broadhurst Theatre,"$1,241,400.00",$247.00,"1,125",0
45,The Lion King,"$1,414,593.50","-$426,523.50",$114.16,"12,391",8,91.33%,-5.21%,2020-03-01,Minskoff Theatre,"$2,062,121.00",$237.00,"1,696",0
46,Mean Girls,"$778,089.15","-$207,020.15",$87.69,"8,873",8,90.54%,-8.80%,2020-03-01,August Wilson Theatre,"$1,176,000.00",$249.50,"1,225",0
47,The Minutes,"$437,237.20",$0.00,$69.73,"6,270",0,73.32%,0.00%,2020-03-01,Studio 54,"$987,144.00",$267.00,"1,069",8
48,Moulin Rouge! The Musical,"$1,571,113.75","-$102,268.25",$150.84,"10,416",8,100.00%,-0.11%,2020-03-01,Al Hirschfeld Theatre,"$1,754,340.00",$399.00,"1,302",0
49,My Name is Lucy Barton,"$568,736.10","$4,302.70",$128.01,"4,443",7,98.25%,-0.31%,2020-03-01,Samuel J. Friedman Theatre,"$754,974.00",$299.00,646,0
50,The Phantom of the Opera,"$639,215.93","-$201,121.57",$72.18,"8,856",8,68.97%,-14.26%,2020-03-01,Majestic Theatre,"$1,358,986.00",$213.00,"1,605",0
51,SIX: The Musical,"$896,885.00","-$103,969.60",$111.19,"8,066",0,97.79%,-2.28%,2020-03-01,Lena Horne Theatre,"$1,057,206.00",$297.00,"1,031",8
52,A Soldier's Play,"$470,330.90","$9,962.40",$86.71,"5,424",8,94.04%,-4.19%,2020-03-01,American Airlines Theatre,"$655,256.00",$297.00,721,0
53,Tina: The Tina Turner Musical,"$1,320,766.00","-$150,169.00",$132.02,"10,004",8,84.61%,-9.56%,2020-03-01,Lunt-Fontanne Theatre,"$1,566,688.00",$297.00,"1,478",0
54,To Kill A Mockingbird,"$1,132,278.54","-$284,906.56",$115.41,"9,811",7,97.67%,-2.47%,2020-03-01,Sam S. Shubert Theatre,"$1,549,625.00",$423.00,"1,435",0
55,West Side Story,"$1,598,947.32","$144,718.78",$114.87,"13,920",8,100.00%,0.00%,2020-03-01,Broadway Theatre,"$1,722,464.00",$373.00,"1,740",0
56,Wicked,"$1,202,089.50","-$400,909.50",$96.33,"12,479",8,86.32%,-10.69%,2020-03-01,Gershwin Theatre,"$1,779,845.00",$250.00,"1,807",0
57,Ain't Too Proud—The Life and Times of the Temptations,"$1,187,875.42","-$151,446.60",$113.55,"10,461",8,91.83%,-2.95%,2020-02-23,Imperial Theatre,"$1,520,824.00",$297.00,"1,424",0
