,Title,Weekly Gross,Gross Difference,Average Ticket Price,Seats Sold,Performance Count,Percent Capacity,Capacity Difference,Week Ending,Theater,Potential Gross,Top Ticket Price,Theater Capacity,Preview Count
2790,Beautiful: The Carole King Musical,"$737,856.76","$63,316.48",$100.72,"7,326",8,89.25%,2.82%,2018-07-15,Stephen Sondheim Theatre,"$1,106,908.00",$247.00,"1,026",0
2791,The Book of Mormon,"$1,094,463.50","-$16,496.50",$125.79,"8,701",8,103.88%,0.93%,2018-07-15,Eugene O'Neill Theatre,"$1,190,502.00",$477.50,"1,047",0
2792,The Boys in the Band,"$929,338.40","-$8,156.40",$153.41,"6,058",8,97.84%,-3.48%,2018-07-15,Booth Theatre,"$957,024.00",$397.00,774,0
2793,A Bronx Tale The Musical,"$582,997.75","$58,497.90",$84.54,"6,896",8,82.57%,4.66%,2018-07-15,Longacre Theatre,"$921,066.00",$225.00,"1,044",0
2794,Carousel,"$866,092.00","$130,063.32",$95.32,"9,086",8,79.53%,-0.61%,2018-07-15,Imperial Theatre,"$1,622,728.00",$323.00,"1,428",0
2795,Chicago,"$660,475.92","$25,465.17",$86.20,"7,662",8,88.68%,1.92%,2018-07-15,Ambassador Theatre,"$958,024.00",$187.00,"1,080",0
2796,Come From Away,"$1,147,525.60","$111,540.45",$134.40,"8,538",8,102.03%,0.07%,2018-07-15,Gerald Schoenfeld Theatre,"$1,260,966.00",$347.00,"1,046",0
2797,Dear Evan Hansen,"$1,652,198.60","$26,402.92",$206.60,"7,997",8,101.59%,0.03%,2018-07-15,Music Box Theatre,"$1,425,136.00",$448.00,984,0
2798,Frozen,"$2,087,637.00","$8,166.00",$157.24,"13,277",8,98.55%,-0.01%,2018-07-15,St. James Theatre,"$2,036,628.00",$325.00,"1,684",0
2799,Hamilton,"$3,109,924.00","-$63,360.00",$289.13,"10,756",8,101.78%,0.02%,2018-07-15,Richard Rodgers Theatre,"$2,895,648.00",$849.00,"1,321",0
2800,Harry Potter and the Cursed Child,"$2,211,269.00","$19,258.00",$170.41,"12,976",8,100.00%,0.00%,2018-07-15,Lyric Theatre,"$1,988,464.00",$296.50,"1,622",0
2801,Head Over Heels,"$306,926.25","$11,028.50",$50.05,"6,132",0,80.85%,-3.70%,2018-07-15,Hudson Theatre,"$870,832.00",$258.00,948,8
2802,"Hello, Dolly!","$974,225.08","$196,929.08",$88.84,"10,966",8,94.80%,5.57%,2018-07-15,Sam S. Shubert Theatre,"$1,371,056.00",$297.00,"1,446",0
2803,Kinky Boots,"$679,248.15","$7,225.90",$89.79,"7,565",8,66.41%,-6.91%,2018-07-15,Al Hirschfeld Theatre,"$1,294,256.00",$249.00,"1,424",0
2804,The Lion King,"$2,721,986.00","$228,278.00",$179.73,"15,145",9,99.22%,-0.78%,2018-07-15,Minskoff Theatre,"$2,566,400.00",$225.00,"1,696",0
2805,Mean Girls,"$1,557,871.05","-$13,711.55",$157.38,"9,899",8,101.01%,0.01%,2018-07-15,August Wilson Theatre,"$1,469,426.00",$399.50,"1,225",0
2806,My Fair Lady,"$1,332,037.00","$31,265.00",$158.33,"8,413",8,98.37%,-1.23%,2018-07-15,Vivian Beaumont Theater,"$1,396,120.00",$323.00,"1,069",0
2807,Once On This Island,"$569,222.30","$23,653.10",$105.37,"5,402",8,97.02%,5.77%,2018-07-15,Circle in the Square Theatre,"$792,176.00",$249.50,696,0
2808,The Phantom of the Opera,"$1,117,108.56","-$58,183.82",$90.37,"12,362",8,96.28%,-1.40%,2018-07-15,Majestic Theatre,"$1,356,418.00",$213.00,"1,605",0
2809,The Play That Goes Wrong,"$341,040.00","-$16,139.50",$65.05,"5,243",8,76.74%,-4.52%,2018-07-15,Lyceum Theatre,"$677,688.00",$197.00,854,0
2810,School of Rock – The Musical,"$929,422.20","-$5,680.40",$91.57,"10,150",8,83.31%,-0.72%,2018-07-15,Winter Garden Theatre,"$1,443,688.00",$248.00,"1,523",0
2811,"SpongeBob SquarePants, The Broadway Musical","$910,545.00","$18,727.50",$77.83,"11,699",8,90.83%,1.54%,2018-07-15,Palace Theatre,"$1,318,198.00",$248.00,"1,610",0
2812,Springsteen On Broadway,"$2,410,195.00",$0.00,$508.48,"4,740",5,100.00%,0.00%,2018-07-15,Walter Kerr Theatre,"$2,384,275.00",$0.00,948,0
2813,Straight White Men,"$350,130.00","$47,907.70",$79.92,"4,381",0,94.26%,5.21%,2018-07-15,Helen Hayes Theater,"$638,296.00",$249.00,581,8
2814,Summer: The Donna Summer Musical,"$814,285.50","$70,901.00",$104.73,"7,775",8,66.11%,3.60%,2018-07-15,Lunt-Fontanne Theatre,"$1,455,668.00",$297.00,"1,470",0
2815,Waitress,"$771,069.40","$4,636.90",$106.46,"7,243",8,86.64%,-3.29%,2018-07-15,Brooks Atkinson Theatre,"$1,019,480.00",$270.00,"1,045",0
2816,Wicked,"$1,864,640.00","-$117,102.00",$127.49,"14,626",8,97.95%,-0.87%,2018-07-15,Gershwin Theatre,"$1,779,845.00",$240.00,"1,867",0
2817,Aladdin,"$1,601,458.50","$68,008.50",$116.35,"13,764",8,99.62%,0.95%,2018-07-08,New Amsterdam Theatre,"$1,775,688.00",$215.50,"1,727",0
2818,Anastasia,"$764,871.90","-$23,952.30",$95.59,"8,002",8,87.51%,1.01%,2018-07-08,Broadhurst Theatre,"$1,105,421.00",$273.00,"1,143",0
2819,Angels in America: A Gay Fantasia on National Themes,"$912,837.50","-$226,997.50",$108.22,"8,435",6,98.86%,4.89%,2018-07-08,Neil Simon Theatre,"$1,148,965.00",$247.00,"1,422",0
2820,The Band's Visit,"$1,051,109.40","-$61,059.40",$126.46,"8,312",8,100.00%,0.00%,2018-07-08,Ethel Barrymore Theatre,"$1,031,928.00",$297.00,"1,039",0
2821,Beautiful: The Carole King Musical,"$674,540.28","-$38,767.07",$95.09,"7,094",8,86.43%,1.54%,2018-07-08,Stephen Sondheim Theatre,"$1,106,908.00",$247.00,"1,026",0
2822,The Book of Mormon,"$1,110,960.00","-$12,970.50",$128.84,"8,623",8,102.95%,0.08%,2018-07-08,Eugene O'Neill Theatre,"$1,190,502.00",$477.50,"1,047",0
2823,The Boys in the Band,"$937,494.80","-$85,715.00",$149.43,"6,274",8,101.32%,-0.97%,2018-07-08,Booth Theatre,"$957,024.00",$397.00,774,0
2824,A Bronx Tale The Musical,"$524,499.85","-$18,681.99",$80.61,"6,507",8,77.91%,0.23%,2018-07-08,Longacre Theatre,"$932,228.00",$225.00,"1,044",0
2825,Carousel,"$736,028.68","-$176,063.32",$80.40,"9,155",8,80.14%,1.82%,2018-07-08,Imperial Theatre,"$1,626,658.00",$323.00,"1,428",0
2826,Chicago,"$635,010.75","-$2,068.10",$84.71,"7,496",8,86.76%,1.74%,2018-07-08,Ambassador Theatre,"$958,024.00",$187.00,"1,080",0
2827,Come From Away,"$1,035,985.15","-$117,186.50",$121.42,"8,532",8,101.96%,-0.07%,2018-07-08,Gerald Schoenfeld Theatre,"$1,260,966.00",$347.00,"1,046",0
2828,Dear Evan Hansen,"$1,625,795.68","-$60,528.22",$203.35,"7,995",8,101.56%,0.09%,2018-07-08,Music Box Theatre,"$1,429,344.00",$448.00,984,0
2829,Frozen,"$2,079,471.00","$67,430.00",$156.61,"13,278",8,98.56%,-1.14%,2018-07-08,St. James Theatre,"$2,036,628.00",$325.00,"1,684",0
2830,Hamilton,"$3,173,284.00","$54,189.00",$295.08,"10,754",8,101.76%,-0.02%,2018-07-08,Richard Rodgers Theatre,"$2,895,648.00",$849.00,"1,321",0
2831,Harry Potter and the Cursed Child,"$2,192,011.00","-$50,909.00",$168.93,"12,976",8,100.00%,0.00%,2018-07-08,Lyric Theatre,"$1,988,464.00",$296.50,"1,622",0
2832,Head Over Heels,"$295,897.75","-$52,219.50",$46.15,"6,412",0,84.55%,0.93%,2018-07-08,Hudson Theatre,"$870,832.00",$258.00,948,8
2833,"Hello, Dolly!","$777,296.00","-$100,471.58",$75.30,"10,322",8,89.23%,-1.17%,2018-07-08,Sam S. Shubert Theatre,"$1,371,056.00",$297.00,"1,446",0
2834,Kinky Boots,"$672,022.25","-$4,361.20",$80.45,"8,353",8,73.32%,5.04%,2018-07-08,Al Hirschfeld Theatre,"$1,294,256.00",$249.00,"1,424",0
2835,The Lion King,"$2,493,708.00","$162,021.00",$183.79,"13,568",8,100.00%,-0.01%,2018-07-08,Minskoff Theatre,"$2,284,278.00",$225.00,"1,696",0
2836,Mean Girls,"$1,571,582.60","-$20,721.90",$158.78,"9,898",8,101.00%,-0.05%,2018-07-08,August Wilson Theatre,"$1,469,426.00",$399.50,"1,225",0
2837,My Fair Lady,"$1,300,772.00","-$21,753.00",$152.71,"8,518",8,99.60%,-0.40%,2018-07-08,Vivian Beaumont Theater,"$1,396,120.00",$323.00,"1,069",0
2838,Once On This Island,"$545,569.20","-$50,157.30",$107.37,"5,081",8,91.25%,-6.42%,2018-07-08,Circle in the Square Theatre,"$792,176.00",$249.50,696,0
2839,The Phantom of the Opera,"$1,175,292.38","$40,679.92",$93.71,"12,542",8,97.68%,2.50%,2018-07-08,Majestic Theatre,"$1,368,480.00",$213.00,"1,605",0
2840,The Play That Goes Wrong,"$357,179.50","$8,102.50",$64.33,"5,552",8,81.26%,4.42%,2018-07-08,Lyceum Theatre,"$677,688.00",$197.00,854,0
2841,School of Rock – The Musical,"$935,102.60","-$22,561.88",$91.34,"10,238",8,84.03%,0.03%,2018-07-08,Winter Garden Theatre,"$1,443,688.00",$223.00,"1,523",0
2842,"SpongeBob SquarePants, The Broadway Musical","$891,817.50","-$45,272.00",$77.55,"11,500",8,89.29%,1.36%,2018-07-08,Palace Theatre,"$1,408,776.00",$248.00,"1,610",0
2843,Straight White Men,"$302,222.30","$173,764.80",$73.02,"4,139",0,89.05%,-1.89%,2018-07-08,Helen Hayes Theater,"$638,296.00",$249.00,581,8
2844,Summer: The Donna Summer Musical,"$743,384.50","-$206,574.70",$101.13,"7,351",8,62.51%,-13.67%,2018-07-08,Lunt-Fontanne Theatre,"$1,455,668.00",$297.00,"1,470",0
2845,Waitress,"$766,432.50","$42,924.30",$101.95,"7,518",8,89.93%,-1.49%,2018-07-08,Brooks Atkinson Theatre,"$1,019,480.00",$270.00,"1,045",0
2846,Wicked,"$1,981,742.00","$17,935.00",$134.30,"14,756",8,98.82%,0.89%,2018-07-08,Gershwin Theatre,"$1,779,845.00",$240.00,"1,867",0
2847,Aladdin,"$1,533,450.00","-$18,194.50",$112.49,"13,632",8,98.67%,-0.74%,2018-07-01,New Amsterdam Theatre,"$1,606,617.00",$215.50,"1,727",0
2848,Anastasia,"$788,824.20","-$58,933.46",$99.72,"7,910",8,86.50%,-5.80%,2018-07-01,Broadhurst Theatre,"$1,105,421.00",$273.00,"1,143",0
2849,Angels in America: A Gay Fantasia on National Themes,"$1,139,835.00","$42,197.50",$121.86,"9,354",7,93.97%,0.92%,2018-07-01,Neil Simon Theatre,"$1,362,036.00",$247.00,"1,422",0
2850,The Band's Visit,"$1,112,168.80","$24,611.80",$133.80,"8,312",8,100.00%,0.00%,2018-07-01,Ethel Barrymore Theatre,"$1,024,568.00",$297.00,"1,039",0
2851,Beautiful: The Carole King Musical,"$713,307.35","-$70,847.51",$102.37,"6,968",8,84.89%,-6.96%,2018-07-01,Stephen Sondheim Theatre,"$1,106,908.00",$247.00,"1,026",0
2852,The Book of Mormon,"$1,123,930.50","-$47,926.50",$130.45,"8,616",8,102.87%,-0.85%,2018-07-01,Eugene O'Neill Theatre,"$1,190,502.00",$477.50,"1,047",0
2853,The Boys in the Band,"$1,023,209.80","-$14,765.40",$161.54,"6,334",8,102.29%,-0.37%,2018-07-01,Booth Theatre,"$957,024.00",$397.00,774,0
2854,A Bronx Tale The Musical,"$543,181.84","-$15,594.07",$83.72,"6,488",8,77.68%,-2.89%,2018-07-01,Longacre Theatre,"$921,066.00",$225.00,"1,044",0
2855,Carousel,"$912,092.00","-$194,722.00",$101.94,"8,947",8,78.32%,-4.13%,2018-07-01,Imperial Theatre,"$1,622,728.00",$323.00,"1,428",0
2856,Chicago,"$637,078.85","-$35,305.25",$86.72,"7,346",8,85.02%,-3.82%,2018-07-01,Ambassador Theatre,"$958,024.00",$187.00,"1,080",0
2857,Come From Away,"$1,153,171.65","-$70,332.35",$135.06,"8,538",8,102.03%,-0.03%,2018-07-01,Gerald Schoenfeld Theatre,"$1,260,966.00",$347.00,"1,046",0
2858,Dear Evan Hansen,"$1,686,323.90","-$27,985.22",$211.11,"7,988",8,101.47%,-0.08%,2018-07-01,Music Box Theatre,"$1,425,136.00",$448.00,984,0
2859,Escape to Margaritaville,"$656,921.00","$88,930.00",$78.55,"8,363",8,64.29%,8.62%,2018-07-01,Marquis Theatre,"$1,752,864.00",$247.00,"1,626",0
2860,Frozen,"$2,012,041.00","$97,510.50",$149.79,"13,432",8,99.70%,-0.16%,2018-07-01,St. James Theatre,"$1,934,448.00",$297.00,"1,684",0
2861,Hamilton,"$3,119,095.00","-$13,771.00",$289.99,"10,756",8,101.78%,0.00%,2018-07-01,Richard Rodgers Theatre,"$2,895,648.00",$849.00,"1,321",0
2862,Harry Potter and the Cursed Child,"$2,242,920.00","$2,723.00",$172.85,"12,976",8,100.00%,0.00%,2018-07-01,Lyric Theatre,"$1,988,464.00",$296.50,"1,622",0
2863,Head Over Heels,"$348,117.25","$280,073.00",$54.89,"6,342",0,83.62%,-10.67%,2018-07-01,Hudson Theatre,"$870,832.00",$258.00,948,8
2864,"Hello, Dolly!","$877,767.58","-$80,757.02",$83.94,"10,457",8,90.40%,-2.60%,2018-07-01,Sam S. Shubert Theatre,"$1,371,056.00",$297.00,"1,446",0
2865,The Iceman Cometh,"$911,248.50","$40,255.14",$128.53,"7,090",7,96.10%,4.82%,2018-07-01,Bernard B. Jacobs Theatre,"$1,194,930.00",$348.00,"1,054",0
2866,Kinky Boots,"$676,383.45","-$69,749.00",$86.95,"7,779",8,68.28%,-3.37%,2018-07-01,Al Hirschfeld Theatre,"$1,294,256.00",$249.00,"1,424",0
2867,The Lion King,"$2,331,687.00","$23,675.00",$171.84,"13,569",8,100.01%,-0.02%,2018-07-01,Minskoff Theatre,"$2,126,160.00",$225.00,"1,696",0
2868,Mean Girls,"$1,592,304.50","$13,903.75",$160.79,"9,903",8,101.05%,0.03%,2018-07-01,August Wilson Theatre,"$1,469,426.00",$399.50,"1,225",0
2869,My Fair Lady,"$1,322,525.00","$19,807.00",$154.65,"8,552",8,100.00%,0.00%,2018-07-01,Vivian Beaumont Theater,"$1,396,120.00",$323.00,"1,069",0
2870,Once On This Island,"$595,726.50","-$90,687.50",$109.55,"5,438",8,97.67%,-5.51%,2018-07-01,Circle in the Square Theatre,"$792,176.00",$249.50,696,0
2871,The Phantom of the Opera,"$1,134,612.46","$13,646.66",$92.84,"12,221",8,95.18%,-0.74%,2018-07-01,Majestic Theatre,"$1,356,418.00",$213.00,"1,605",0
2872,The Play That Goes Wrong,"$349,077.00","-$64,702.80",$66.49,"5,250",8,76.84%,-8.04%,2018-07-01,Lyceum Theatre,"$677,688.00",$197.00,854,0
2873,School of Rock – The Musical,"$957,664.48","-$91,112.32",$93.58,"10,234",8,84.00%,-6.30%,2018-07-01,Winter Garden Theatre,"$1,443,688.00",$248.00,"1,523",0
2874,"SpongeBob SquarePants, The Broadway Musical","$937,089.50","-$70,271.50",$82.75,"11,325",8,87.93%,-3.61%,2018-07-01,Palace Theatre,"$1,408,776.00",$248.00,"1,610",0
2875,Springsteen On Broadway,"$1,929,002.50","-$482,072.50",$508.70,"3,792",4,100.00%,0.00%,2018-07-01,Walter Kerr Theatre,"$1,907,420.00",$0.00,948,0
2876,Straight White Men,"$128,457.50",$0.00,$81.05,"1,585",0,90.94%,0.00%,2018-07-01,Helen Hayes Theater,"$239,361.00",$249.00,581,3
2877,Summer: The Donna Summer Musical,"$949,959.20","-$83,048.80",$106.03,"8,959",8,76.18%,-6.46%,2018-07-01,Lunt-Fontanne Theatre,"$1,455,668.00",$297.00,"1,470",0
2878,Waitress,"$723,508.20","-$39,919.10",$94.66,"7,643",8,91.42%,-1.44%,2018-07-01,Brooks Atkinson Theatre,"$1,019,480.00",$270.00,"1,045",0
2879,Wicked,"$1,963,807.00","-$18,570.00",$130.15,"15,089",8,97.93%,-1.82%,2018-07-01,Gershwin Theatre,"$1,779,845.00",$240.00,"1,926",0
2880,Aladdin,"$1,551,644.50","$38,511.50",$112.98,"13,734",8,99.41%,0.29%,2018-06-24,New Amsterdam Theatre,"$1,590,347.00",$215.50,"1,727",0
2881,Anastasia,"$847,757.66","-$12,014.01",$100.45,"8,440",8,92.30%,-2.31%,2018-06-24,Broadhurst Theatre,"$1,093,588.00",$273.00,"1,143",0
2882,Angels in America: A Gay Fantasia on National Themes,"$1,097,637.50","$103,530.00",$118.51,"9,262",7,93.05%,4.65%,2018-06-24,Neil Simon Theatre,"$1,362,036.00",$247.00,"1,422",0
2883,The Band's Visit,"$1,087,557.00","$17,711.79",$130.84,"8,312",8,100.00%,0.00%,2018-06-24,Ethel Barrymore Theatre,"$1,024,568.00",$297.00,"1,039",0
2884,Beautiful: The Carole King Musical,"$784,154.86","$39,530.36",$104.01,"7,539",8,91.85%,3.33%,2018-06-24,Stephen Sondheim Theatre,"$1,106,908.00",$247.00,"1,026",0
2885,The Book of Mormon,"$1,171,857.00","$7,659.00",$134.88,"8,688",8,103.72%,0.41%,2018-06-24,Eugene O'Neill Theatre,"$1,190,502.00",$477.50,"1,047",0
2886,The Boys in the Band,"$1,037,975.20","$4,749.66",$163.28,"6,357",8,102.66%,0.16%,2018-06-24,Booth Theatre,"$957,024.00",$397.00,774,0
2887,A Bronx Tale The Musical,"$558,775.91","-$40,694.09",$83.04,"6,729",8,80.57%,-4.37%,2018-06-24,Longacre Theatre,"$921,066.00",$225.00,"1,044",0
2888,Carousel,"$1,106,814.00","$11,302.88",$117.51,"9,419",8,82.45%,-2.33%,2018-06-24,Imperial Theatre,"$1,622,728.00",$323.00,"1,428",0
2889,Chicago,"$672,384.10","$25,829.05",$87.60,"7,676",8,88.84%,2.31%,2018-06-24,Ambassador Theatre,"$958,024.00",$187.00,"1,080",0
2890,Come From Away,"$1,223,504.00","$19,206.36",$143.27,"8,540",8,102.06%,0.06%,2018-06-24,Gerald Schoenfeld Theatre,"$1,260,966.00",$347.00,"1,046",0
2891,Dear Evan Hansen,"$1,714,309.12","-$12,176.06",$214.45,"7,994",8,101.55%,-0.03%,2018-06-24,Music Box Theatre,"$1,425,136.00",$448.00,984,0
2892,Escape to Margaritaville,"$567,991.00","$39,321.00",$78.44,"7,241",8,55.67%,3.06%,2018-06-24,Marquis Theatre,"$1,752,864.00",$247.00,"1,626",0
2893,Frozen,"$1,914,530.50",-$199.50,$142.31,"13,453",8,99.86%,0.34%,2018-06-24,St. James Theatre,"$1,824,344.00",$297.00,"1,684",0
2894,Hamilton,"$3,132,866.00","$1,692.00",$291.27,"10,756",8,101.78%,0.02%,2018-06-24,Richard Rodgers Theatre,"$2,895,648.00",$849.00,"1,321",0
2895,Harry Potter and the Cursed Child,"$2,240,197.00","-$37,249.00",$172.64,"12,976",8,100.00%,0.00%,2018-06-24,Lyric Theatre,"$1,988,464.00",$296.50,"1,622",0
2896,Head Over Heels,"$68,044.25",$0.00,$74.94,908,0,94.29%,0.00%,2018-06-24,Hudson Theatre,"$104,979.60",$258.00,963,1
2897,"Hello, Dolly!","$958,524.60","$15,444.84",$89.10,"10,758",8,93.00%,0.36%,2018-06-24,Sam S. Shubert Theatre,"$1,371,056.00",$297.00,"1,446",0
2898,The Iceman Cometh,"$870,993.36","$9,022.42",$129.32,"6,735",7,91.28%,1.57%,2018-06-24,Bernard B. Jacobs Theatre,"$1,194,930.00",$348.00,"1,054",0
2899,Kinky Boots,"$746,132.45","$80,511.45",$91.42,"8,162",8,71.65%,3.90%,2018-06-24,Al Hirschfeld Theatre,"$1,294,256.00",$249.00,"1,424",0
2900,The Lion King,"$2,308,012.00","$22,903.00",$170.06,"13,572",8,100.03%,0.03%,2018-06-24,Minskoff Theatre,"$2,146,039.00",$225.00,"1,696",0
2901,Mean Girls,"$1,578,400.75","$5,404.80",$159.43,"9,900",8,101.02%,0.05%,2018-06-24,August Wilson Theatre,"$1,469,426.00",$399.50,"1,225",0
2902,My Fair Lady,"$1,302,718.00","$29,761.00",$152.33,"8,552",8,100.00%,0.00%,2018-06-24,Vivian Beaumont Theater,"$1,396,120.00",$323.00,"1,069",0
2903,Once On This Island,"$686,414.00","$69,116.90",$119.48,"5,745",8,103.18%,3.07%,2018-06-24,Circle in the Square Theatre,"$792,176.00",$249.50,696,0
2904,The Phantom of the Opera,"$1,120,965.80","-$21,797.93",$91.02,"12,316",8,95.92%,-4.39%,2018-06-24,Majestic Theatre,"$1,356,418.00",$213.00,"1,605",0
2905,The Play That Goes Wrong,"$413,779.80","$33,983.30",$71.35,"5,799",8,84.88%,2.01%,2018-06-24,Lyceum Theatre,"$677,688.00",$197.00,854,0
2906,School of Rock – The Musical,"$1,048,776.80","$85,382.04",$95.33,"11,002",8,90.30%,5.71%,2018-06-24,Winter Garden Theatre,"$1,443,688.00",$248.00,"1,523",0
2907,"SpongeBob SquarePants, The Broadway Musical","$1,007,361.00","$40,342.50",$85.44,"11,790",8,91.54%,0.09%,2018-06-24,Palace Theatre,"$1,408,776.00",$248.00,"1,610",0
2908,Springsteen On Broadway,"$2,411,075.00","$480,805.00",$508.67,"4,740",5,100.00%,0.00%,2018-06-24,Walter Kerr Theatre,"$2,384,275.00",$0.00,948,0
2909,Summer: The Donna Summer Musical,"$1,033,008.00","$20,051.40",$106.30,"9,718",8,82.64%,1.82%,2018-06-24,Lunt-Fontanne Theatre,"$1,455,668.00",$197.00,"1,470",0
2910,Three Tall Women,"$1,275,918.36","$197,998.92",$180.14,"7,083",9,100.00%,-0.03%,2018-06-24,John Golden Theatre,"$1,050,075.00",$423.00,787,0
2911,Waitress,"$763,427.30","-$221,799.70",$98.34,"7,763",8,92.86%,-6.18%,2018-06-24,Brooks Atkinson Theatre,"$1,019,480.00",$270.00,"1,045",0
2912,Wicked,"$1,982,377.00","$36,936.00",$128.98,"15,370",8,99.75%,0.41%,2018-06-24,Gershwin Theatre,"$1,779,845.00",$240.00,"1,926",0
2913,Aladdin,"$1,513,133.00","$50,588.00",$110.50,"13,694",8,99.12%,0.37%,2018-06-17,New Amsterdam Theatre,"$1,584,935.00",$215.50,"1,727",0
2914,Anastasia,"$859,771.67","-$17,366.33",$99.38,"8,651",8,94.61%,1.72%,2018-06-17,Broadhurst Theatre,"$1,093,588.00",$273.00,"1,143",0
2915,Angels in America: A Gay Fantasia on National Themes,"$994,107.50","$77,105.00",$112.98,"8,799",7,88.40%,-0.28%,2018-06-17,Neil Simon Theatre,"$1,362,036.00",$247.00,"1,422",0
2916,The Band's Visit,"$1,069,845.21","$119,202.25",$128.71,"8,312",8,100.00%,0.00%,2018-06-17,Ethel Barrymore Theatre,"$1,024,568.00",$297.00,"1,039",0
2917,Beautiful: The Carole King Musical,"$744,624.50","$3,372.70",$102.48,"7,266",8,88.52%,4.77%,2018-06-17,Stephen Sondheim Theatre,"$1,106,908.00",$247.00,"1,026",0
2918,The Book of Mormon,"$1,164,198.00","$23,711.50",$134.54,"8,653",8,103.31%,-0.13%,2018-06-17,Eugene O'Neill Theatre,"$1,190,502.00",$477.50,"1,047",0
2919,The Boys in the Band,"$1,033,225.54","$15,005.56",$162.79,"6,347",8,102.50%,-0.05%,2018-06-17,Booth Theatre,"$957,024.00",$397.00,774,0
2920,A Bronx Tale The Musical,"$599,470.00","$13,578.66",$84.50,"7,094",8,84.94%,5.38%,2018-06-17,Longacre Theatre,"$921,066.00",$225.00,"1,044",0
2921,Carousel,"$1,095,511.12","-$18,086.62",$113.11,"9,685",8,84.78%,0.45%,2018-06-17,Imperial Theatre,"$1,622,728.00",$323.00,"1,428",0
2922,Chicago,"$646,555.05","-$31,392.73",$86.48,"7,476",8,86.53%,-4.49%,2018-06-17,Ambassador Theatre,"$958,024.00",$187.00,"1,080",0
2923,Come From Away,"$1,204,297.64","$13,498.24",$141.10,"8,535",8,102.00%,0.08%,2018-06-17,Gerald Schoenfeld Theatre,"$1,260,966.00",$347.00,"1,046",0
2924,Dear Evan Hansen,"$1,726,485.18","$14,712.38",$215.92,"7,996",8,101.58%,0.00%,2018-06-17,Music Box Theatre,"$1,425,136.00",$448.00,984,0
2925,Escape to Margaritaville,"$528,670.00","$18,581.50",$77.26,"6,843",8,52.61%,2.83%,2018-06-17,Marquis Theatre,"$1,752,864.00",$247.00,"1,626",0
2926,Frozen,"$1,914,730.00","$49,176.00",$142.81,"13,408",8,99.52%,0.35%,2018-06-17,St. James Theatre,"$1,805,240.00",$297.00,"1,684",0
2927,Hamilton,"$3,131,174.00","$284,133.00",$291.16,"10,754",8,101.76%,0.21%,2018-06-17,Richard Rodgers Theatre,"$2,895,648.00",$849.00,"1,321",0
2928,Harry Potter and the Cursed Child,"$2,277,446.00","$176,186.50",$175.51,"12,976",8,100.00%,0.00%,2018-06-17,Lyric Theatre,"$1,988,464.00",$296.50,"1,622",0
2929,"Hello, Dolly!","$943,079.76","-$13,669.26",$88.00,"10,717",8,92.64%,0.07%,2018-06-17,Sam S. Shubert Theatre,"$1,371,056.00",$297.00,"1,446",0
2930,The Iceman Cometh,"$861,970.94","-$32,303.18",$130.23,"6,619",7,89.71%,-0.53%,2018-06-17,Bernard B. Jacobs Theatre,"$1,194,930.00",$397.00,"1,054",0
2931,Kinky Boots,"$665,621.00","$4,420.90",$86.24,"7,718",8,67.75%,2.64%,2018-06-17,Al Hirschfeld Theatre,"$1,294,256.00",$249.00,"1,424",0
2932,The Lion King,"$2,285,109.00","$81,175.00",$168.42,"13,568",8,100.00%,-0.02%,2018-06-17,Minskoff Theatre,"$2,124,285.00",$225.00,"1,696",0
2933,Mean Girls,"$1,572,995.95","$28,106.05",$158.97,"9,895",8,100.97%,-0.06%,2018-06-17,August Wilson Theatre,"$1,469,426.00",$399.50,"1,225",0
2934,My Fair Lady,"$1,272,957.00","$42,640.00",$148.85,"8,552",8,100.00%,0.00%,2018-06-17,Vivian Beaumont Theater,"$1,396,120.00",$323.00,"1,069",0
2935,Once On This Island,"$617,297.10","$80,187.50",$110.75,"5,574",8,100.11%,1.91%,2018-06-17,Circle in the Square Theatre,"$792,176.00",$249.50,696,0
2936,The Phantom of the Opera,"$1,142,763.73","$1,401.29",$88.72,"12,880",8,100.31%,-0.15%,2018-06-17,Majestic Theatre,"$1,356,418.00",$213.00,"1,605",0
2937,The Play That Goes Wrong,"$379,796.50","$13,810.50",$67.08,"5,662",8,82.87%,6.92%,2018-06-17,Lyceum Theatre,"$677,688.00",$197.00,854,0
2938,School of Rock – The Musical,"$963,394.76","-$16,882.04",$93.48,"10,306",8,84.59%,-4.35%,2018-06-17,Winter Garden Theatre,"$1,443,688.00",$248.00,"1,523",0
2939,"SpongeBob SquarePants, The Broadway Musical","$967,018.50","$68,720.90",$82.10,"11,779",8,91.45%,-1.43%,2018-06-17,Palace Theatre,"$1,408,776.00",$248.00,"1,610",0
2940,Springsteen On Broadway,"$1,930,270.00","-$471,832.50",$509.04,"3,792",4,100.00%,0.00%,2018-06-17,Walter Kerr Theatre,"$1,907,420.00",$0.00,948,0
2941,Summer: The Donna Summer Musical,"$1,012,956.60","-$84,477.60",$106.58,"9,504",8,80.82%,-7.13%,2018-06-17,Lunt-Fontanne Theatre,"$1,455,668.00",$197.00,"1,470",0
2942,Three Tall Women,"$1,077,919.44","$83,661.12",$171.15,"6,298",8,100.03%,0.03%,2018-06-17,John Golden Theatre,"$932,456.00",$423.00,787,0
